country,city,month,attractions,hostelNight,drinks,meals,transport,minTemp,maxTemp,precipitation,currency,currencyCode,visitorsCity,region,wikiLink
Austria,Vienna,January,14,19.56,10.5,20.4,4.4,-3.7,2.5,35,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
Austria,Vienna,February,14,19.56,10.5,20.4,4.4,-2.5,4.8,39,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
Austria,Vienna,March,14,19.56,10.5,20.4,4.4,0.2,9.9,41,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
Austria,Vienna,April,14,19.56,10.5,20.4,4.4,4.4,15.6,48,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
Austria,Vienna,May,14,19.56,10.5,20.4,4.4,8.9,20.7,64,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
Austria,Vienna,June,14,19.56,10.5,20.4,4.4,12.4,23.9,75,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
Austria,Vienna,July,14,19.56,10.5,20.4,4.4,13.8,26.1,73,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
Austria,Vienna,August,14,19.56,10.5,20.4,4.4,13.5,25.5,65,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
Austria,Vienna,September,14,19.56,10.5,20.4,4.4,9.6,20.9,48,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
Austria,Vienna,October,14,19.56,10.5,20.4,4.4,5,15,42,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
Austria,Vienna,November,14,19.56,10.5,20.4,4.4,1.5,8.1,49,Euro,EUR,16.3,Western Europe,"<a href=""https://en.wikipedia.org/wiki/Vienna"" target=""blank"">https://en.wikipedia.org/wiki/Vienna</a>"
